更新时间: 2026-04-25 19:10:36（北京时间）

更新时间,#genre#
2026-04-25 19:10:36,http://kakaxi.indevs.in/LOGO/Disclaimer.mp4

山东卫视,http://121.230.144.64:8000/rtp/239.49.8.7:9306$江苏电信
辽宁卫视,http://171.8.84.159:8800/rtp/239.16.20.95:10950$河南电信
辽宁卫视,http://121.230.144.64:8000/rtp/239.49.8.48:8000$江苏电信
黑龙江卫视,http://171.8.84.159:8800/rtp/239.16.20.99:10990$河南电信
黑龙江卫视,http://121.230.144.64:8000/rtp/239.49.8.14:9426$江苏电信
吉林卫视,http://171.8.84.159:8800/rtp/239.16.20.94:10940$河南电信
吉林卫视,http://121.230.144.64:8000/rtp/239.49.8.113:8000$江苏电信
陕西卫视,http://171.8.84.159:8800/rtp/239.16.20.83:10830$河南电信
甘肃卫视,http://171.8.84.159:8800/rtp/239.16.20.102:11020$河南电信
青海卫视,http://171.8.84.159:8800/rtp/239.16.20.101:11010$河南电信
三沙卫视,http://121.230.144.64:8000/rtp/239.49.0.167:8000$江苏电信
山东教育卫视,http://121.230.144.64:8000/rtp/239.49.0.235:8000$江苏电信
中国教育1台,http://171.8.84.159:8800/rtp/239.16.20.78:10780$河南电信
中国教育1台,http://121.230.144.64:8000/rtp/239.49.8.115:8000$江苏电信
中国教育4台,http://121.230.144.64:8000/rtp/239.49.0.125:8000$江苏电信

数字频道,#genre#
金鹰纪实,http://171.8.84.159:8800/rtp/239.16.20.153:11530$河南电信
金鹰纪实,http://121.230.144.64:8000/rtp/239.49.8.79:8000$江苏电信
睛彩青少,http://121.230.144.64:8000/rtp/239.49.8.46:8000$江苏电信
睛彩竞技,http://121.230.144.64:8000/rtp/239.49.8.39:8000$江苏电信
睛彩篮球,http://121.230.144.64:8000/rtp/239.49.8.42:8000$江苏电信
睛彩广场舞,http://121.230.144.64:8000/rtp/239.49.8.64:8000$江苏电信
魅力足球,http://171.8.84.159:8800/rtp/239.16.20.113:11130$河南电信
魅力足球,http://121.230.144.64:8000/rtp/239.49.1.179:6000$江苏电信
快乐垂钓,http://171.8.84.159:8800/rtp/239.16.20.67:10670$河南电信
快乐垂钓,http://121.230.144.64:8000/rtp/239.49.0.114:8000$江苏电信
茶频道,http://171.8.84.159:8800/rtp/239.16.20.68:10680$河南电信
茶频道,http://121.230.144.64:8000/rtp/239.49.0.146:8000$江苏电信
